Entity,Code,Year,"Share (top 10%, before tax)"
Afghanistan,AFG,2008,40.97
Afghanistan,AFG,2012,37.86
Afghanistan,AFG,2017,40.43
Afghanistan,AFG,2022,40.54
Afghanistan,AFG,2023,40.27
Africa (WID),,1980,57.99
Africa (WID),,1981,57.26
Africa (WID),,1982,57.23
Africa (WID),,1983,58.02
Africa (WID),,1984,57.28
Africa (WID),,1985,57.39
Africa (WID),,1986,56.77
Africa (WID),,1987,56.34
Africa (WID),,1988,56.28
Africa (WID),,1989,56.43
Africa (WID),,1990,56.17
Africa (WID),,1991,56.67
Africa (WID),,1992,56.4
Africa (WID),,1993,55.93
Africa (WID),,1994,56.46
Africa (WID),,1995,56.28
Africa (WID),,1996,56.49
Africa (WID),,1997,56.94
Africa (WID),,1998,56.89
Africa (WID),,1999,57.21
Africa (WID),,2000,57.5
Africa (WID),,2001,57.41
Africa (WID),,2002,57.38
Africa (WID),,2003,57.38
Africa (WID),,2004,57.22
Africa (WID),,2005,57.01
Africa (WID),,2006,57.35
Africa (WID),,2007,57.32
Africa (WID),,2008,56.52
Africa (WID),,2009,55.64
Africa (WID),,2010,55.32
Africa (WID),,2011,54.9
Africa (WID),,2012,55.79
Africa (WID),,2013,55.86
Africa (WID),,2014,55.55
Africa (WID),,2015,55.52
Africa (WID),,2016,55.44
Africa (WID),,2017,55.1
Africa (WID),,2018,55.1
Africa (WID),,2019,54.84
Africa (WID),,2020,54.5
Africa (WID),,2021,55.08
Africa (WID),,2022,55
Africa (WID),,2023,55.1
Albania,ALB,1996,32.04
Albania,ALB,2002,32.85
Albania,ALB,2005,32.21
Albania,ALB,2008,31.88
Albania,ALB,2012,32.65
Albania,ALB,2015,35.54
Albania,ALB,2016,34.89
Albania,ALB,2017,34.96
Albania,ALB,2018,34.78
Albania,ALB,2022,34.2
Albania,ALB,2023,34.35
Algeria,DZA,1988,45.67
Algeria,DZA,1989,45.82
Algeria,DZA,1990,46.06
Algeria,DZA,1991,47.18
Algeria,DZA,1992,45.83
Algeria,DZA,1993,47.16
Algeria,DZA,1994,51.22
Algeria,DZA,1995,47.6
Algeria,DZA,1996,45.81
Algeria,DZA,1997,47.42
Algeria,DZA,1998,46.06
Algeria,DZA,1999,45.9
Algeria,DZA,2000,47.75
Algeria,DZA,2001,46.86
Algeria,DZA,2002,47.41
Algeria,DZA,2003,47.28
Algeria,DZA,2004,45.89
Algeria,DZA,2005,45.81
Algeria,DZA,2006,46.58
Algeria,DZA,2007,48.21
Algeria,DZA,2008,45.56
Algeria,DZA,2009,45
Algeria,DZA,2010,44.12
Algeria,DZA,2011,42.72
Algeria,DZA,2022,49.6
Algeria,DZA,2023,48.76
Andorra,AND,1980,32.22
Andorra,AND,1981,32.22
Andorra,AND,1982,32.18
Andorra,AND,1983,32.3
Andorra,AND,1984,32.66
Andorra,AND,1985,32.87
Andorra,AND,1986,32.52
Andorra,AND,1987,32.5
Andorra,AND,1988,32.44
Andorra,AND,1989,32.6
Andorra,AND,1990,32.5
Andorra,AND,1991,32.3
Andorra,AND,1992,33.2
Andorra,AND,1993,33.45
Andorra,AND,1994,34.17
Andorra,AND,1995,33.86
Andorra,AND,1996,34.03
Andorra,AND,1997,34.81
Andorra,AND,1998,34.95
Andorra,AND,1999,34.99
Andorra,AND,2000,35.57
Andorra,AND,2001,35.11
Andorra,AND,2002,34.61
Andorra,AND,2003,34.76
Andorra,AND,2004,35.04
Andorra,AND,2005,35.28
Andorra,AND,2006,35.98
Andorra,AND,2007,36.07
Andorra,AND,2008,34.24
Andorra,AND,2009,33.48
Andorra,AND,2010,35.14
Andorra,AND,2011,35.06
Andorra,AND,2012,34.4
Andorra,AND,2013,34.63
Andorra,AND,2014,35.09
Andorra,AND,2015,34.99
Andorra,AND,2016,35.13
Andorra,AND,2017,35.28
Andorra,AND,2018,35.25
Andorra,AND,2019,35.02
Andorra,AND,2020,34.86
Andorra,AND,2021,35.53
Andorra,AND,2022,35.67
Andorra,AND,2023,35.67
Angola,AGO,1995,58.68
Angola,AGO,2000,58.49
Angola,AGO,2008,48.85
Angola,AGO,2018,57.85
Angola,AGO,2022,57.72
Angola,AGO,2023,57.72
Anguilla,AIA,1980,55.94
Anguilla,AIA,1981,55.93
Anguilla,AIA,1982,55.93
Anguilla,AIA,1983,55.93
Anguilla,AIA,1984,55.92
Anguilla,AIA,1985,55.92
Anguilla,AIA,1986,55.92
Anguilla,AIA,1987,55.91
Anguilla,AIA,1988,55.91
Anguilla,AIA,1989,55.92
Anguilla,AIA,1990,55.92
Anguilla,AIA,1991,55.8
Anguilla,AIA,1992,55.7
Anguilla,AIA,1993,55.6
Anguilla,AIA,1994,55.5
Anguilla,AIA,1995,55.4
Anguilla,AIA,1996,55.31
Anguilla,AIA,1997,55.21
Anguilla,AIA,1998,55.12
Anguilla,AIA,1999,55.03
Anguilla,AIA,2000,54.94
Anguilla,AIA,2001,54.77
Anguilla,AIA,2002,54.6
Anguilla,AIA,2003,54.45
Anguilla,AIA,2004,54.3
Anguilla,AIA,2005,54.16
Anguilla,AIA,2006,54.03
